2018-12-28 13:39:28,622 [ain Thread]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE STARTED ------------------------------------------------------ 
2018-12-28 13:39:29,110 [e-1136-b06]   INFO -        #com.intellij.idea.Main - IDE: Android Studio (build #AI-181.5540.7.32.5056338, 08 Oct 2018 21:29) 
2018-12-28 13:39:29,111 [e-1136-b06]   INFO -        #com.intellij.idea.Main - OS: Linux (4.19.12-arch1-1-arch, amd64) 
2018-12-28 13:39:29,111 [e-1136-b06]   INFO -        #com.intellij.idea.Main - JRE: 1.8.0_152-release-1136-b06 (JetBrains s.r.o) 
2018-12-28 13:39:29,111 [e-1136-b06]   INFO -        #com.intellij.idea.Main - JVM: 25.152-b06 (OpenJDK 64-Bit Server VM) 
2018-12-28 13:39:29,143 [e-1136-b06]   INFO -        #com.intellij.idea.Main - JVM Args: -Xms256m -Xmx1280m -XX:ReservedCodeCacheSize=240m -XX:+UseConcMarkSweepGC -XX:SoftRefLRUPolicyMSPerMB=50 -Dsun.io.useCanonCaches=false -Djava.net.preferIPv4Stack=true -Djna.nosys=true -Djna.boot.library.path= -da -Dawt.useSystemAAFontSettings=lcd -Dsun.java2d.renderer=sun.java2d.marlin.MarlinRenderingEngine -XX:ErrorFile=/home/john/java_error_in_STUDIO_%p.log -XX:HeapDumpPath=/home/john/java_error_in_STUDIO.hprof -Didea.paths.selector=AndroidStudio3.2 -Djb.vmOptionsFile=/opt/android-studio/bin/studio64.vmoptions -Didea.platform.prefix=AndroidStudio -Didea.jre.check=true 
2018-12-28 13:39:29,143 [e-1136-b06]   INFO -        #com.intellij.idea.Main - ext: /opt/android-studio/jre/jre/lib/ext: [localedata.jar, nashorn.jar, dnsns.jar, sunpkcs11.jar, cldrdata.jar, sunjce_provider.jar, meta-index, jaccess.jar, zipfs.jar, sunec.jar] 
2018-12-28 13:39:29,143 [e-1136-b06]   INFO -        #com.intellij.idea.Main - JNU charset: ANSI_X3.4-1968 
2018-12-28 13:39:29,203 [e-1136-b06]   INFO -        #com.intellij.idea.Main - JNA library (64-bit) loaded in 59 ms 
2018-12-28 13:39:29,692 [e-1136-b06]   INFO -     #com.intellij.util.ui.JBUI - User scale factor: 1.0 
2018-12-28 13:39:29,692 [e-1136-b06]   INFO -     #com.intellij.util.ui.JBUI - System scale factor: 1.0 (IDE-managed HiDPI) 
2018-12-28 13:39:49,437 [entQueue-0]   INFO - .intellij.idea.IdeaApplication - CPU cores: 4; ForkJoinPool.commonPool: java.util.concurrent.ForkJoinPool@42a3a3dd[Running, parallelism = 3, size = 0, active = 0, running = 0, steals = 0, tasks = 0, submissions = 0]; factory: com.intellij.concurrency.IdeaForkJoinWorkerThreadFactory@9f8f395 
2018-12-28 13:39:49,730 [entQueue-0]   INFO - .intellij.idea.IdeaApplication - WM detected: dwm 
2018-12-28 13:39:52,264 [entQueue-0]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor duplicates-groovy.xml 
2018-12-28 13:39:53,004 [entQueue-0]   INFO - llij.ide.plugins.PluginManager - 38 plugins initialized in 2941 ms 
2018-12-28 13:39:53,006 [entQueue-0]   INFO - llij.ide.plugins.PluginManager - Loaded bundled plugins: Android APK Support (1.0), Android Games (1.0), Android NDK Support (1.0), Android Support (10.3.2.1), App Links Assistant (0.1), CVS Integration (11), Copyright (8.1), Coverage (181.5540.7.32.5056338), EditorConfig (181.5540.7.32.5056338), Firebase App Indexing (0.1), Firebase Services (0.1), Firebase Testing (1.0), Git Integration (8.1), GitHub (181.5540.7.32.5056338), Google Cloud Tools Core (0.2.8), Google Cloud Tools For Android Studio (0.2.8), Google Developers Samples (0.3.1), Google Login (1.0), Google Services (0.1), Gradle (181.5540.7.32.5056338), Groovy (9.0), I18n for Java (181.5540.7.32.5056338), IDEA CORE (181.5540.7.32.5056338), IntelliLang (8.0), JUnit (1.0), Java Bytecode Decompiler (181.5540.7.32.5056338), Java Stream Debugger (181.5540.7.32.5056338), Kotlin (1.2.71-release-Studio3.2-1), Mercurial Integration (10.0), Properties Support (181.5540.7.32.5056338), Settings Repository (181.5540.7.32.5056338), Smali Support (1.0), Subversion Integration (1.1), Task Management (1.0), Terminal (0.1), Test Recorder (1.0), TestNG-J (8.0), YAML (181.5540.7.32.5056338) 
2018-12-28 13:39:58,329 [entQueue-0]   INFO - ellij.vfs.persistent.FSRecords - Marking VFS as corrupted: '/home/john/.AndroidStudio3.2/system/caches/names.dat' does not exist 
2018-12-28 13:39:58,333 [entQueue-0]   INFO - ellij.util.io.PagedFileStorage - lower=100; upper=500; buffer=10; max=1226 
2018-12-28 13:39:58,459 [entQueue-0]   INFO - pl.local.NativeFileWatcherImpl - Starting file watcher: /opt/android-studio/bin/fsnotifier64 
2018-12-28 13:39:58,503 [entQueue-0]   INFO - pl.local.NativeFileWatcherImpl - Native file watcher is operational. 
2018-12-28 13:40:02,041 [e-1136-b06]   WARN - nSystem.impl.ActionManagerImpl - keymap "Xcode" not found [Plugin: Git4Idea] 
2018-12-28 13:40:02,223 [e-1136-b06]   WARN - nSystem.impl.ActionManagerImpl - keymap "Xcode" not found [Plugin: hg4idea] 
2018-12-28 13:40:02,412 [e-1136-b06]   WARN - nSystem.impl.ActionManagerImpl - keymap "Xcode" not found [Plugin: com.android.tools.ndk] 
2018-12-28 13:40:02,415 [e-1136-b06]   WARN - nSystem.impl.ActionManagerImpl - keymap "Xcode" not found [Plugin: com.android.tools.ndk] 
2018-12-28 13:40:02,416 [e-1136-b06]   WARN - nSystem.impl.ActionManagerImpl - keymap "Xcode" not found [Plugin: com.android.tools.ndk] 
2018-12-28 13:40:02,575 [e-1136-b06]   INFO - .history.utils.LocalHistoryLog - local history version mismatch (was: 0, expected: 6), rebuilding... 
